evento_id,ativo_id,inicio_ts,fim_ts,severidade,categoria_evento,planejado,energia_nao_suprida_mwh,status_evento
EVT-001,ATV-001,2026-07-01T06:00:00,2026-07-01T06:25:00,Baixa,Inspeção preventiva,true,4.8,Encerrado
EVT-002,ATV-001,2026-07-01T11:23:00,2026-07-01T12:07:00,Média,Manutenção planejada,true,6.9,Encerrado
EVT-003,ATV-001,2026-07-01T17:46:00,2026-07-01T18:49:00,Alta,Falha de comunicação,false,21.0,Encerrado
EVT-004,ATV-001,2026-07-02T00:19:00,2026-07-02T01:41:00,Baixa,Inspeção preventiva,true,11.1,Encerrado
EVT-005,ATV-001,2026-07-02T08:42:00,2026-07-02T10:23:00,Baixa,Inspeção preventiva,true,13.2,Encerrado
EVT-006,ATV-001,2026-07-02T13:15:00,2026-07-02T15:15:00,Média,Manutenção planejada,true,15.3,Encerrado
EVT-007,ATV-001,2026-07-02T19:38:00,2026-07-02T21:57:00,Alta,Falha de comunicação,false,29.4,Encerrado
EVT-008,ATV-001,2026-07-03T02:11:00,2026-07-03T04:49:00,Baixa,Inspeção preventiva,true,19.6,Encerrado
EVT-009,ATV-001,2026-07-03T10:34:00,2026-07-03T13:31:00,Baixa,Inspeção preventiva,true,21.7,Encerrado
EVT-010,ATV-001,2026-07-03T15:07:00,2026-07-03T15:43:00,Média,Manutenção planejada,true,6.0,Encerrado
EVT-011,ATV-001,2026-07-03T21:30:00,2026-07-03T22:25:00,Alta,Falha de comunicação,false,20.1,Encerrado
EVT-012,ATV-001,2026-07-04T04:03:00,2026-07-04T05:17:00,Baixa,Inspeção preventiva,true,10.2,Encerrado
EVT-013,ATV-001,2026-07-04T12:26:00,2026-07-04T13:59:00,Baixa,Inspeção preventiva,true,12.3,Encerrado
EVT-014,ATV-001,2026-07-04T17:49:00,2026-07-04T19:41:00,Média,Manutenção planejada,true,14.4,Encerrado
EVT-015,ATV-002,2026-07-04T23:00:00,2026-07-05T00:20:00,Alta,Proteção acionada,false,40.9,Encerrado
EVT-016,ATV-002,2026-07-05T04:23:00,2026-07-05T06:20:00,Crítica,Falha de comunicação,false,45.0,Encerrado
EVT-017,ATV-002,2026-07-05T10:46:00,2026-07-05T13:20:00,Crítica,Restrição de rede,false,49.1,Encerrado
EVT-018,ATV-002,2026-07-05T17:19:00,2026-07-05T20:30:00,Média,Proteção acionada,false,53.2,Encerrado
EVT-019,ATV-002,2026-07-06T01:42:00,2026-07-06T05:30:00,Alta,Falha de comunicação,false,57.3,Encerrado
EVT-020,ATV-002,2026-07-06T06:15:00,2026-07-06T10:40:00,Alta,Proteção acionada,false,61.4,Encerrado
EVT-021,ATV-002,2026-07-06T12:38:00,2026-07-06T17:40:00,Crítica,Falha de comunicação,false,65.6,Encerrado
EVT-022,ATV-002,2026-07-06T19:11:00,2026-07-07T00:50:00,Crítica,Restrição de rede,false,69.7,Encerrado
EVT-023,ATV-002,2026-07-07T03:34:00,2026-07-07T09:50:00,Média,Proteção acionada,false,73.8,Encerrado
EVT-024,ATV-002,2026-07-07T08:07:00,2026-07-07T15:00:00,Alta,Falha de comunicação,false,77.9,Encerrado
