medicao_id,ativo_id,medicao_ts,geracao_mwh,carga_mw,disponibilidade_pct,temperatura_c,qualidade_dado
MED-0001,ATV-001,2026-08-01T00:00:00,3.6,63.08,97.6,14.0,Medido
MED-0002,ATV-002,2026-08-01T00:00:00,209.89,87.1,84.7,11.9,Medido
MED-0003,ATV-003,2026-08-01T00:00:00,241.92,117.63,98.16,13.3,Medido
MED-0004,ATV-004,2026-08-01T00:00:00,197.83,86.34,81.74,15.3,Medido
MED-0005,ATV-005,2026-08-01T00:00:00,264.6,136.4,96.44,14.4,Medido
MED-0006,ATV-006,2026-08-01T00:00:00,3.2,79.07,96.89,12.7,Medido
MED-0007,ATV-007,2026-08-01T00:00:00,302.4,161.67,99.7,9.6,Medido
MED-0008,ATV-008,2026-08-01T00:00:00,132.14,110.85,86.98,10.1,Medido
MED-0009,ATV-001,2026-08-01T01:00:00,3.6,63.08,97.6,13.1,Medido
MED-0010,ATV-002,2026-08-01T01:00:00,215.81,87.1,84.7,10.9,Medido
MED-0011,ATV-003,2026-08-01T01:00:00,243.04,117.63,98.16,12.3,Medido
MED-0012,ATV-004,2026-08-01T01:00:00,195.98,86.34,81.74,14.3,Medido
MED-0013,ATV-005,2026-08-01T01:00:00,265.82,136.4,96.44,13.4,Medido
MED-0014,ATV-006,2026-08-01T01:00:00,3.2,79.07,96.89,11.7,Medido
MED-0015,ATV-007,2026-08-01T01:00:00,303.8,161.67,99.7,8.6,Medido
MED-0016,ATV-008,2026-08-01T01:00:00,123.26,110.85,86.98,9.1,Medido
MED-0017,ATV-001,2026-08-01T02:00:00,3.6,63.08,97.6,12.7,Medido
MED-0018,ATV-002,2026-08-01T02:00:00,220.55,87.1,84.7,10.6,Medido
MED-0019,ATV-003,2026-08-01T02:00:00,244.15,117.63,98.16,12.0,Medido
MED-0020,ATV-004,2026-08-01T02:00:00,192.95,86.34,81.74,14.0,Medido
MED-0021,ATV-005,2026-08-01T02:00:00,267.04,136.4,96.44,13.1,Medido
MED-0022,ATV-006,2026-08-01T02:00:00,3.2,79.07,96.89,11.3,Medido
MED-0023,ATV-007,2026-08-01T02:00:00,305.19,161.67,99.7,8.3,Medido
MED-0024,ATV-008,2026-08-01T02:00:00,114.95,110.85,86.98,8.7,Medido
MED-0025,ATV-001,2026-08-01T03:00:00,3.6,63.08,97.6,13.1,Medido
MED-0026,ATV-002,2026-08-01T03:00:00,224.0,87.1,84.7,10.9,Medido
MED-0027,ATV-003,2026-08-01T03:00:00,245.25,117.63,98.16,12.3,Medido
MED-0028,ATV-004,2026-08-01T03:00:00,188.8,86.34,81.74,14.3,Medido
MED-0029,ATV-005,2026-08-01T03:00:00,268.24,136.4,96.44,13.4,Medido
MED-0030,ATV-006,2026-08-01T03:00:00,3.2,79.07,96.89,11.7,Medido
MED-0031,ATV-007,2026-08-01T03:00:00,306.56,161.67,99.7,8.6,Medido
MED-0032,ATV-008,2026-08-01T03:00:00,107.37,110.85,86.98,9.1,Medido
MED-0033,ATV-001,2026-08-01T04:00:00,3.6,63.08,97.6,14.0,Medido
MED-0034,ATV-002,2026-08-01T04:00:00,226.1,87.1,84.7,11.9,Medido
MED-0035,ATV-003,2026-08-01T04:00:00,246.32,117.63,98.16,13.3,Medido
MED-0036,ATV-004,2026-08-01T04:00:00,183.6,86.34,81.74,15.3,Medido
MED-0037,ATV-005,2026-08-01T04:00:00,269.41,136.4,96.44,14.4,Medido
MED-0038,ATV-006,2026-08-01T04:00:00,3.2,79.07,96.89,12.7,Medido
MED-0039,ATV-007,2026-08-01T04:00:00,307.9,161.67,99.7,9.6,Medido
MED-0040,ATV-008,2026-08-01T04:00:00,100.68,110.85,86.98,10.1,Medido
MED-0041,ATV-001,2026-08-01T05:00:00,3.6,63.08,97.6,15.6,Medido
MED-0042,ATV-002,2026-08-01T05:00:00,226.8,87.1,84.7,13.5,Medido
MED-0043,ATV-003,2026-08-01T05:00:00,247.36,117.63,98.16,14.9,Medido
MED-0044,ATV-004,2026-08-01T05:00:00,177.48,86.34,81.74,16.9,Medido
MED-0045,ATV-005,2026-08-01T05:00:00,270.55,136.4,96.44,16.0,Medido
MED-0046,ATV-006,2026-08-01T05:00:00,3.2,79.07,96.89,14.3,Medido
MED-0047,ATV-007,2026-08-01T05:00:00,309.2,161.67,99.7,11.2,Medido
MED-0048,ATV-008,2026-08-01T05:00:00,95.01,110.85,86.98,11.7,Medido
MED-0049,ATV-001,2026-08-01T06:00:00,3.6,63.08,97.6,17.7,Medido
MED-0050,ATV-002,2026-08-01T06:00:00,226.09,87.1,84.7,15.6,Medido
MED-0051,ATV-003,2026-08-01T06:00:00,248.36,117.63,98.16,17.0,Medido
MED-0052,ATV-004,2026-08-01T06:00:00,170.54,86.34,81.74,19.0,Medido
MED-0053,ATV-005,2026-08-01T06:00:00,271.65,136.4,96.44,18.1,Medido
MED-0054,ATV-006,2026-08-01T06:00:00,3.2,79.07,96.89,16.3,Medido
MED-0055,ATV-007,2026-08-01T06:00:00,310.45,161.67,99.7,13.3,Medido
MED-0056,ATV-008,2026-08-01T06:00:00,90.48,110.85,86.98,13.7,Medido
MED-0057,ATV-001,2026-08-01T07:00:00,46.47,63.08,97.6,20.1,Medido
MED-0058,ATV-002,2026-08-01T07:00:00,223.98,87.1,84.7,18.0,Medido
MED-0059,ATV-003,2026-08-01T07:00:00,249.32,117.63,98.16,19.4,Medido
MED-0060,ATV-004,2026-08-01T07:00:00,162.94,86.34,81.74,21.4,Medido
MED-0061,ATV-005,2026-08-01T07:00:00,272.7,136.4,96.44,20.5,Medido
MED-0062,ATV-006,2026-08-01T07:00:00,41.31,79.07,96.89,18.7,Medido
MED-0063,ATV-007,2026-08-01T07:00:00,311.65,161.67,99.7,15.7,Medido
MED-0064,ATV-008,2026-08-01T07:00:00,87.18,110.85,86.98,16.2,Medido
MED-0065,ATV-001,2026-08-01T08:00:00,89.77,76.23,97.6,22.7,Medido
MED-0066,ATV-002,2026-08-01T08:00:00,220.51,104.63,84.7,20.6,Medido
MED-0067,ATV-003,2026-08-01T08:00:00,250.23,141.01,98.16,22.0,Medido
MED-0068,ATV-004,2026-08-01T08:00:00,154.83,101.68,81.74,24.0,Medido
MED-0069,ATV-005,2026-08-01T08:00:00,273.69,161.97,96.44,23.1,Medido
MED-0070,ATV-006,2026-08-01T08:00:00,79.8,90.76,96.89,21.3,Medido
MED-0071,ATV-007,2026-08-01T08:00:00,312.79,190.89,99.7,18.3,Medido
MED-0072,ATV-008,2026-08-01T08:00:00,85.18,127.65,86.98,18.7,Medido
MED-0073,ATV-001,2026-08-01T09:00:00,126.96,76.23,97.6,25.3,Medido
MED-0074,ATV-002,2026-08-01T09:00:00,215.77,104.63,84.7,23.2,Medido
MED-0075,ATV-003,2026-08-01T09:00:00,251.08,141.01,98.16,24.6,Medido
MED-0076,ATV-004,2026-08-01T09:00:00,146.37,101.68,81.74,26.6,Medido
MED-0077,ATV-005,2026-08-01T09:00:00,274.62,161.97,96.44,25.7,Medido
MED-0078,ATV-006,2026-08-01T09:00:00,112.85,90.76,96.89,23.9,Medido
MED-0079,ATV-007,2026-08-01T09:00:00,313.85,190.89,99.7,20.9,Medido
MED-0080,ATV-008,2026-08-01T09:00:00,84.53,127.65,86.98,21.3,Medido
MED-0081,ATV-001,2026-08-01T10:00:00,155.49,76.23,97.6,27.7,Medido
MED-0082,ATV-002,2026-08-01T10:00:00,209.83,104.63,84.7,25.6,Medido
MED-0083,ATV-003,2026-08-01T10:00:00,251.87,141.01,98.16,27.0,Medido
MED-0084,ATV-004,2026-08-01T10:00:00,137.74,101.68,81.74,29.0,Medido
MED-0085,ATV-005,2026-08-01T10:00:00,275.48,161.97,96.44,28.1,Medido
MED-0086,ATV-006,2026-08-01T10:00:00,138.22,90.76,96.89,26.3,Medido
MED-0087,ATV-007,2026-08-01T10:00:00,314.83,190.89,99.7,23.3,Medido
MED-0088,ATV-008,2026-08-01T10:00:00,85.22,127.65,86.98,23.7,Medido
MED-0089,ATV-001,2026-08-01T11:00:00,173.43,76.23,97.6,29.8,Medido
MED-0090,ATV-002,2026-08-01T11:00:00,202.83,104.63,84.7,27.7,Medido
MED-0091,ATV-003,2026-08-01T11:00:00,252.59,141.01,98.16,29.1,Medido
MED-0092,ATV-004,2026-08-01T11:00:00,129.1,101.68,81.74,31.1,Medido
MED-0093,ATV-005,2026-08-01T11:00:00,276.27,161.97,96.44,30.2,Medido
MED-0094,ATV-006,2026-08-01T11:00:00,154.16,90.76,96.89,28.4,Medido
MED-0095,ATV-007,2026-08-01T11:00:00,315.73,190.89,99.7,25.4,Medido
MED-0096,ATV-008,2026-08-01T11:00:00,87.25,127.65,86.98,25.8,Estimado
MED-0097,ATV-001,2026-08-01T12:00:00,176.4,76.23,97.6,31.4,Medido
MED-0098,ATV-002,2026-08-01T12:00:00,194.91,104.63,84.7,29.3,Medido
MED-0099,ATV-003,2026-08-01T12:00:00,253.23,141.01,98.16,30.6,Medido
MED-0100,ATV-004,2026-08-01T12:00:00,120.65,101.68,81.74,32.7,Medido
MED-0101,ATV-005,2026-08-01T12:00:00,276.97,161.97,96.44,31.7,Medido
MED-0102,ATV-006,2026-08-01T12:00:00,156.8,90.76,96.89,30.0,Medido
MED-0103,ATV-007,2026-08-01T12:00:00,316.54,190.89,99.7,27.0,Estimado
MED-0104,ATV-008,2026-08-01T12:00:00,90.58,127.65,86.98,27.4,Medido
MED-0105,ATV-001,2026-08-01T13:00:00,173.43,76.23,97.6,32.4,Medido
MED-0106,ATV-002,2026-08-01T13:00:00,186.22,104.63,84.7,30.3,Medido
MED-0107,ATV-003,2026-08-01T13:00:00,253.79,141.01,98.16,31.6,Medido
MED-0108,ATV-004,2026-08-01T13:00:00,112.54,101.68,81.74,33.7,Medido
MED-0109,ATV-005,2026-08-01T13:00:00,277.59,161.97,96.44,32.7,Medido
MED-0110,ATV-006,2026-08-01T13:00:00,154.16,90.76,96.89,31.0,Estimado
MED-0111,ATV-007,2026-08-01T13:00:00,317.24,190.89,99.7,28.0,Medido
MED-0112,ATV-008,2026-08-01T13:00:00,95.14,127.65,86.98,28.4,Medido
MED-0113,ATV-001,2026-08-01T14:00:00,155.49,76.23,97.6,32.7,Medido
MED-0114,ATV-002,2026-08-01T14:00:00,176.95,104.63,84.7,30.6,Medido
MED-0115,ATV-003,2026-08-01T14:00:00,254.28,141.01,98.16,32.0,Medido
MED-0116,ATV-004,2026-08-01T14:00:00,104.95,101.68,81.74,34.0,Medido
MED-0117,ATV-005,2026-08-01T14:00:00,278.12,161.97,96.44,33.1,Estimado
MED-0118,ATV-006,2026-08-01T14:00:00,138.22,90.76,96.89,31.3,Medido
MED-0119,ATV-007,2026-08-01T14:00:00,317.85,190.89,99.7,28.3,Medido
MED-0120,ATV-008,2026-08-01T14:00:00,100.84,127.65,86.98,28.7,Medido
MED-0121,ATV-001,2026-08-01T15:00:00,126.96,76.23,97.6,32.4,Medido
MED-0122,ATV-002,2026-08-01T15:00:00,167.28,104.63,84.7,30.3,Medido
MED-0123,ATV-003,2026-08-01T15:00:00,254.67,141.01,98.16,31.6,Medido
MED-0124,ATV-004,2026-08-01T15:00:00,98.03,101.68,81.74,33.7,Estimado
MED-0125,ATV-005,2026-08-01T15:00:00,278.55,161.97,96.44,32.7,Medido
MED-0126,ATV-006,2026-08-01T15:00:00,112.85,90.76,96.89,31.0,Medido
MED-0127,ATV-007,2026-08-01T15:00:00,318.34,190.89,99.7,28.0,Medido
MED-0128,ATV-008,2026-08-01T15:00:00,107.56,127.65,86.98,28.4,Medido
MED-0129,ATV-001,2026-08-01T16:00:00,89.77,76.23,97.6,31.4,Medido
MED-0130,ATV-002,2026-08-01T16:00:00,157.41,104.63,84.7,29.3,Medido
MED-0131,ATV-003,2026-08-01T16:00:00,254.98,141.01,98.16,30.6,Estimado
MED-0132,ATV-004,2026-08-01T16:00:00,91.92,101.68,81.74,32.7,Medido
MED-0133,ATV-005,2026-08-01T16:00:00,278.89,161.97,96.44,31.7,Medido
MED-0134,ATV-006,2026-08-01T16:00:00,79.8,90.76,96.89,30.0,Medido
MED-0135,ATV-007,2026-08-01T16:00:00,318.73,190.89,99.7,27.0,Medido
MED-0136,ATV-008,2026-08-01T16:00:00,115.16,127.65,86.98,27.4,Medido
MED-0137,ATV-001,2026-08-01T17:00:00,46.47,76.23,97.6,29.8,Medido
MED-0138,ATV-002,2026-08-01T17:00:00,147.55,104.63,84.7,27.7,Estimado
MED-0139,ATV-003,2026-08-01T17:00:00,255.2,141.01,98.16,29.1,Medido
MED-0140,ATV-004,2026-08-01T17:00:00,86.75,101.68,81.74,31.1,Medido
MED-0141,ATV-005,2026-08-01T17:00:00,279.13,161.97,96.44,30.2,Medido
MED-0142,ATV-006,2026-08-01T17:00:00,41.31,90.76,96.89,28.4,Medido
MED-0143,ATV-007,2026-08-01T17:00:00,319.0,190.89,99.7,25.4,Medido
MED-0144,ATV-008,2026-08-01T17:00:00,123.49,127.65,86.98,25.8,Medido
MED-0145,ATV-001,2026-08-01T18:00:00,3.6,76.23,97.6,27.7,Estimado
MED-0146,ATV-002,2026-08-01T18:00:00,137.88,104.63,84.7,25.6,Medido
MED-0147,ATV-003,2026-08-01T18:00:00,255.33,141.01,98.16,27.0,Medido
MED-0148,ATV-004,2026-08-01T18:00:00,82.61,101.68,81.74,29.0,Medido
MED-0149,ATV-005,2026-08-01T18:00:00,279.26,161.97,96.44,28.1,Medido
MED-0150,ATV-006,2026-08-01T18:00:00,3.2,90.76,96.89,26.3,Medido
MED-0151,ATV-007,2026-08-01T18:00:00,319.16,190.89,99.7,23.3,Medido
MED-0152,ATV-008,2026-08-01T18:00:00,132.38,127.65,86.98,23.7,Medido
MED-0153,ATV-001,2026-08-01T19:00:00,3.6,76.23,97.6,25.3,Medido
MED-0154,ATV-002,2026-08-01T19:00:00,128.62,104.63,84.7,23.2,Medido
MED-0155,ATV-003,2026-08-01T19:00:00,255.36,141.01,98.16,24.6,Medido
MED-0156,ATV-004,2026-08-01T19:00:00,79.6,101.68,81.74,26.6,Medido
MED-0157,ATV-005,2026-08-01T19:00:00,279.3,161.97,96.44,25.7,Medido
MED-0158,ATV-006,2026-08-01T19:00:00,3.2,90.76,96.89,23.9,Medido
MED-0159,ATV-007,2026-08-01T19:00:00,319.2,190.89,99.7,20.9,Medido
MED-0160,ATV-008,2026-08-01T19:00:00,141.65,127.65,86.98,21.3,Medido
MED-0161,ATV-001,2026-08-01T20:00:00,3.6,76.23,97.6,22.7,Medido
MED-0162,ATV-002,2026-08-01T20:00:00,119.95,104.63,84.7,20.6,Medido
MED-0163,ATV-003,2026-08-01T20:00:00,255.3,141.01,98.16,22.0,Medido
MED-0164,ATV-004,2026-08-01T20:00:00,77.78,101.68,81.74,24.0,Medido
MED-0165,ATV-005,2026-08-01T20:00:00,279.23,161.97,96.44,23.1,Medido
MED-0166,ATV-006,2026-08-01T20:00:00,3.2,90.76,96.89,21.3,Medido
MED-0167,ATV-007,2026-08-01T20:00:00,319.12,190.89,99.7,18.3,Medido
MED-0168,ATV-008,2026-08-01T20:00:00,151.11,127.65,86.98,18.7,Medido
MED-0169,ATV-001,2026-08-01T21:00:00,3.6,76.23,97.6,20.1,Medido
MED-0170,ATV-002,2026-08-01T21:00:00,112.04,104.63,84.7,18.0,Medido
MED-0171,ATV-003,2026-08-01T21:00:00,255.14,141.01,98.16,19.4,Medido
MED-0172,ATV-004,2026-08-01T21:00:00,77.18,101.68,81.74,21.4,Medido
MED-0173,ATV-005,2026-08-01T21:00:00,279.06,161.97,96.44,20.5,Medido
MED-0174,ATV-006,2026-08-01T21:00:00,3.2,90.76,96.89,18.7,Medido
MED-0175,ATV-007,2026-08-01T21:00:00,318.93,190.89,99.7,15.7,Medido
MED-0176,ATV-008,2026-08-01T21:00:00,160.56,127.65,86.98,16.2,Medido
MED-0177,ATV-001,2026-08-01T22:00:00,3.6,63.08,97.6,17.7,Medido
MED-0178,ATV-002,2026-08-01T22:00:00,105.05,87.1,84.7,15.6,Medido
MED-0179,ATV-003,2026-08-01T22:00:00,254.9,117.63,98.16,17.0,Medido
MED-0180,ATV-004,2026-08-01T22:00:00,77.81,86.34,81.74,19.0,Medido
MED-0181,ATV-005,2026-08-01T22:00:00,278.8,136.4,96.44,18.1,Medido
MED-0182,ATV-006,2026-08-01T22:00:00,3.2,79.07,96.89,16.3,Medido
MED-0183,ATV-007,2026-08-01T22:00:00,318.62,161.67,99.7,13.3,Medido
MED-0184,ATV-008,2026-08-01T22:00:00,169.82,110.85,86.98,13.7,Medido
MED-0185,ATV-001,2026-08-01T23:00:00,3.6,63.08,97.6,15.6,Medido
MED-0186,ATV-002,2026-08-01T23:00:00,99.14,87.1,84.7,13.5,Medido
MED-0187,ATV-003,2026-08-01T23:00:00,254.56,117.63,98.16,14.9,Medido
MED-0188,ATV-004,2026-08-01T23:00:00,79.67,86.34,81.74,16.9,Medido
MED-0189,ATV-005,2026-08-01T23:00:00,278.43,136.4,96.44,16.0,Medido
MED-0190,ATV-006,2026-08-01T23:00:00,3.2,79.07,96.89,14.3,Medido
MED-0191,ATV-007,2026-08-01T23:00:00,318.21,161.67,99.7,11.2,Medido
MED-0192,ATV-008,2026-08-01T23:00:00,178.69,110.85,86.98,11.7,Medido
MED-0193,ATV-001,2026-08-02T00:00:00,3.6,66.9,97.94,14.0,Medido
MED-0194,ATV-002,2026-08-02T00:00:00,223.88,92.19,84.1,11.9,Medido
MED-0195,ATV-003,2026-08-02T00:00:00,270.17,124.43,97.17,13.3,Medido
MED-0196,ATV-004,2026-08-02T00:00:00,205.8,90.8,81.27,15.3,Medido
