ponto_id,rota_id,ordem_ponto,ponto_ts,ativo_id,equipe,latitude,longitude,distancia_acumulada_km,status_rota
ROT-001-P01,ROT-001,1,2026-08-03T08:00:00,ATV-001,Equipe Norte,-23.6305,-46.6333,0.4,Concluída
ROT-001-P02,ROT-001,2,2026-08-03T08:12:00,ATV-001,Equipe Norte,-23.6215,-46.6236,2.8,Concluída
ROT-001-P03,ROT-001,3,2026-08-03T08:24:00,ATV-001,Equipe Norte,-23.6125,-46.6154,5.2,Concluída
ROT-001-P04,ROT-001,4,2026-08-03T08:36:00,ATV-001,Equipe Norte,-23.6035,-46.61,7.6,Concluída
ROT-001-P05,ROT-001,5,2026-08-03T08:48:00,ATV-001,Equipe Norte,-23.5945,-46.6083,10.0,Concluída
ROT-001-P06,ROT-001,6,2026-08-03T09:00:00,ATV-001,Equipe Norte,-23.5855,-46.6106,12.4,Concluída
ROT-001-P07,ROT-001,7,2026-08-03T09:12:00,ATV-001,Equipe Norte,-23.5765,-46.6164,14.8,Concluída
ROT-001-P08,ROT-001,8,2026-08-03T09:24:00,ATV-001,Equipe Norte,-23.5675,-46.6249,17.2,Concluída
ROT-001-P09,ROT-001,9,2026-08-03T09:36:00,ATV-001,Equipe Norte,-23.5585,-46.6348,19.6,Concluída
ROT-001-P10,ROT-001,10,2026-08-03T09:48:00,ATV-001,Equipe Norte,-23.5495,-46.6444,22.0,Concluída
ROT-001-P11,ROT-001,11,2026-08-03T10:00:00,ATV-001,Equipe Norte,-23.5405,-46.6522,24.4,Concluída
ROT-001-P12,ROT-001,12,2026-08-03T10:12:00,ATV-001,Equipe Norte,-23.5315,-46.6571,26.8,Concluída
ROT-001-P13,ROT-001,13,2026-08-03T10:24:00,ATV-001,Equipe Norte,-23.5225,-46.6582,29.2,Concluída
ROT-001-P14,ROT-001,14,2026-08-03T10:36:00,ATV-001,Equipe Norte,-23.5135,-46.6554,31.6,Concluída
ROT-001-P15,ROT-001,15,2026-08-03T10:48:00,ATV-001,Equipe Norte,-23.5045,-46.6491,34.0,Concluída
ROT-001-P16,ROT-001,16,2026-08-03T11:00:00,ATV-001,Equipe Norte,-23.4955,-46.6403,36.4,Concluída
ROT-001-P17,ROT-001,17,2026-08-03T11:12:00,ATV-001,Equipe Norte,-23.4865,-46.6304,38.8,Concluída
